Alcance de la pagina de Facebook;
Fecha;Alcance de la pagina de Facebook
2021-12-21T00:00:00;1
2021-12-22T00:00:00;2
2021-12-23T00:00:00;0
2021-12-24T00:00:00;2
2021-12-25T00:00:00;1
2021-12-26T00:00:00;0
2021-12-27T00:00:00;0
2021-12-28T00:00:00;2
2021-12-29T00:00:00;0
2021-12-30T00:00:00;0
2021-12-31T00:00:00;0
2022-01-01T00:00:00;0
2022-01-02T00:00:00;3
2022-01-03T00:00:00;1
2022-01-04T00:00:00;1
2022-01-05T00:00:00;1
2022-01-06T00:00:00;1
2022-01-07T00:00:00;1
2022-01-08T00:00:00;20
2022-01-09T00:00:00;430
2022-01-10T00:00:00;8143
2022-01-11T00:00:00;264
2022-01-12T00:00:00;1275
2022-01-13T00:00:00;1171
2022-01-14T00:00:00;849
2022-01-15T00:00:00;1059
2022-01-16T00:00:00;763
2022-01-17T00:00:00;893
;
Alcance de Instagram;
Fecha;Alcance de Instagram
2021-12-21T00:00:00;5689
2021-12-22T00:00:00;4154
2021-12-23T00:00:00;544
2021-12-24T00:00:00;4544
2021-12-25T00:00:00;8
2021-12-26T00:00:00;8785
2021-12-27T00:00:00;484
2021-12-28T00:00:00;8478
2021-12-29T00:00:00;878
2021-12-30T00:00:00;142
2021-12-31T00:00:00;85
2022-01-01T00:00:00;2
2022-01-02T00:00:00;82
2022-01-03T00:00:00;78
2022-01-04T00:00:00;3654
2022-01-05T00:00:00;6325
2022-01-06T00:00:00;872
2022-01-07T00:00:00;5858
2022-01-08T00:00:00;5857
2022-01-09T00:00:00;1267
2022-01-10T00:00:00;421
2022-01-11T00:00:00;3467
2022-01-12T00:00:00;5623
2022-01-13T00:00:00;9653
2022-01-14T00:00:00;1986
2022-01-15T00:00:00;6587
2022-01-16T00:00:00;4236
2022-01-17T00:00:00;963
